Node Number	Equivalent (von-Mises) Stress (MPa)
1533	16.002
1534	16.043
1535	16.015
1536	16.033
1537	15.986
1538	16.005
1539	16.109
1540	16.103
1541	15.896
1542	15.875
1543	15.836
1544	15.797
1545	15.83
1546	15.761
1547	15.779
1548	15.78
1549	15.717
1550	15.701
1551	15.737
1552	15.68
1553	15.68
1554	15.687
1555	15.673
1556	15.673
1557	15.681
1558	15.667
1559	15.671
1560	15.656
1561	15.675
1562	15.694
1563	15.699
1564	15.528
1565	15.667
1566	15.655
1567	15.653
1568	15.667
1569	15.551
1570	5.2456
1571	5.9915
1572	15.557
1573	15.55
1574	15.577
1575	15.556
1576	15.504
1577	15.49
1578	15.441
1579	15.526
1580	15.525
1581	15.524
1582	15.529
1583	15.532
1584	15.52
1585	15.509
1586	15.511
1587	15.503
1588	15.501
1589	15.518
1590	15.518
1591	15.526
1592	15.531
1593	15.54
1594	15.572
1595	15.588
1596	15.555
1597	15.563
1598	15.56
1599	15.614
1600	15.619
1601	15.566
1602	15.552
1603	15.641
1604	15.642
1605	15.792
1606	15.812
1607	15.694
1608	15.69
1609	15.74
1610	15.716
1611	15.837
1612	15.827
1613	15.871
1614	15.836
1615	15.997
1616	15.962
1617	15.983
1618	15.937
1619	15.952
1620	15.903
1621	15.96
1622	15.93
1623	15.952
1624	15.799
1625	15.516
1626	15.486
1627	15.151
1628	14.782
1629	14.381
1630	14.601
1631	14.271
1632	14.122
1633	13.359
1634	13.555
1635	12.995
1636	13.178
1637	12.196
1638	11.685
1639	11.922
1640	11.158
1641	11.364
1642	10.934
1643	10.624
1644	10.35
1645	10.47
1646	10.002
1647	9.6356
1648	9.3971
1649	9.1693
1650	9.2883
1651	8.9747
1652	9.1128
1653	8.8731
1654	8.947
1655	8.8255
1656	8.8021
1657	8.8043
1658	9.0382
1659	8.9737
1660	9.4735
1661	9.3069
1662	9.945
1663	9.6829
1664	10.447
1665	10.187
1666	10.727
1667	11.863
1668	12.483
1669	12.494
1670	12.167
1671	9.6095
1672	11.421
1673	6.4734
1674	7.7383
1675	8.3676
1676	6.6924
1677	11.367
1678	13.483
1679	12.276
1680	12.397
1681	12.881
1682	11.555
1683	11.967
1684	11.049
1685	10.366
1686	10.706
1687	9.7639
1688	10.081
1689	9.468
1690	9.0387
1691	8.1385
1692	7.6178
1693	7.688
1694	7.5118
1695	7.6101
1696	7.4909
1697	7.6245
1698	7.6008
1699	8.0491
1700	8.1974
1701	8.1426
1702	8.5598
1703	8.4025
1704	8.7188
1705	9.0531
1706	8.8833
1707	9.3023
1708	9.1956
1709	10.265
1710	10.708
1711	11.657
1712	11.424
1713	11.992
1714	13.197
1715	12.826
1716	13.44
1717	13.324
1718	13.723
1719	13.569
1720	13.826
1721	13.857
1722	13.787
1723	13.966
1724	13.803
1725	13.529
1726	13.601
1727	13.442
1728	13.345
1729	12.998
1730	13.11
1731	12.778
1732	12.575
1733	12.095
1734	12.214
1735	12.056
1736	11.73
1737	10.503
1738	9.4231
1739	8.8339
1740	7.4512
1741	7.778
1742	5.6505
1743	4.8221
1744	2.8581
1745	3.381
1746	2.8883
1747	5.7355
1748	2.5784
1749	4.2887
1750	2.0165
1751	2.3139
1752	2.795
1753	2.2752
1754	4.0099
1755	3.7917
1756	3.9446
1757	4.0215
1758	3.5832
1759	3.4405
1760	3.5666
1761	2.852
1762	2.0695
1763	1.6757
1764	1.8603
1765	1.3643
1766	0.99554
1767	1.1008
1768	0.95008
1769	0.88528
1770	0.80543
1771	0.78509
1772	0.66841
1773	0.62348
1774	0.65267
1775	0.60173
1776	0.56535
1777	0.536
1778	0.54075
1779	0.80939
1780	0.73817
1781	0.74435
1782	0.4406
1783	0.45173
1784	0.38423
1785	0.38343
1786	0.38279
1787	6.8507
1788	6.9978
1789	6.6139
1790	6.8062
1791	6.0054
1792	6.3172
1793	5.5029
1794	0.6586
1795	0.43497
1796	0.61257
1797	0.65261
1798	0.5863
1799	0.69972
1800	0.66813
1801	0.7739
1802	0.66731
1803	1.2739
1804	0.87489
1805	5.2305
1806	4.836
1807	5.2615
1808	4.8746
1809	5.4396
1810	13.914
1811	13.357
1812	3.8559
1813	11.434
1814	8.9437
1815	13.817
