Node Number	Equivalent (von-Mises) Stress (MPa)
1329	0.41515
1330	0.4257
1331	0.41673
1332	0.43394
1333	0.43882
1334	0.46011
1335	0.47718
1336	0.48691
1337	0.50776
1338	0.5228
1339	0.55974
1340	0.59197
1341	0.61209
1342	0.6334
1343	0.64386
1344	0.66521
1345	0.67904
1346	0.71777
1347	0.75714
1348	0.80365
1349	0.81447
1350	0.83653
1351	0.82134
1352	0.83112
1353	0.8438
1354	0.83527
1355	0.85872
1356	0.87577
1357	0.91002
1358	0.93631
1359	0.92394
1360	0.9355
1361	0.95486
1362	0.97318
1363	0.99729
1364	1.0448
1365	1.0652
1366	1.0835
1367	1.1788
1368	1.2761
1369	1.3091
1370	1.4585
1371	1.6425
1372	1.8947
1373	2.1926
1374	2.4621
1375	2.8469
1376	3.0574
1377	3.2252
1378	3.6358
1379	4.0794
1380	4.4552
1381	4.6944
1382	4.7278
1383	4.6674
1384	4.1739
1385	3.0742
1386	2.191
1387	3.1484
1388	7.3516
1389	7.3926
1390	7.1553
1391	6.3711
1392	5.3523
1393	3.2514
1394	2.6437
1395	3.3774
1396	3.8821
1397	4.28
1398	4.8227
1399	5.0829
1400	5.3273
1401	5.9549
1402	6.279
1403	6.5887
1404	6.8958
1405	7.1646
1406	7.6998
1407	8.249
1408	8.4999
1409	8.7344
1410	8.9477
1411	9.1838
1412	9.4508
1413	9.7284
1414	10.272
1415	10.806
1416	11.073
1417	11.327
1418	11.624
1419	11.889
1420	12.164
1421	12.436
1422	12.71
1423	12.996
1424	13.581
1425	13.85
1426	14.1
1427	14.344
1428	14.581
1429	15.019
1430	15.251
1431	15.474
1432	15.689
1433	15.975
1434	16.184
1435	16.338
1436	16.459
1437	16.604
1438	16.742
1439	16.843
1440	16.914
1441	17.024
1442	17.261
1443	17.392
1444	17.46
1445	17.562
1446	17.62
1447	17.619
1448	17.717
1449	17.76
1450	17.721
1451	17.728
1452	17.83
1453	17.831
1454	17.838
1455	17.724
1456	17.642
1457	17.542
1458	17.273
1459	16.929
1460	16.5
1461	16.005
1462	15.476
1463	15.177
1464	14.92
1465	14.53
1466	14.205
1467	13.485
1468	12.8
1469	12.577
1470	12.223
1471	11.658
1472	11.481
1473	11.125
1474	10.758
1475	10.598
1476	10.637
1477	10.764
1478	10.907
1479	11.393
1480	11.761
1481	12.085
1482	12.718
1483	11.574
1484	5.2451
1485	8.3519
1486	11.126
1487	11.965
1488	12.219
1489	12.048
1490	11.876
1491	11.478
1492	11.251
1493	11.038
1494	10.94
1495	10.848
1496	10.864
1497	10.915
1498	11.015
1499	11.189
1500	11.397
1501	11.648
1502	11.919
1503	12.231
1504	12.527
1505	12.877
1506	13.196
1507	13.589
1508	13.887
1509	14.25
1510	14.559
1511	15.21
1512	15.831
1513	16.123
1514	16.402
1515	16.68
1516	16.931
1517	17.399
1518	17.83
1519	18.199
1520	18.515
1521	18.788
1522	19.024
1523	19.22
1524	19.383
1525	19.512
1526	19.612
1527	19.689
1528	19.744
1529	19.778
1530	19.798
1531	19.796
1532	19.797
1533	19.783
1534	19.761
1535	19.734
1536	19.704
1537	19.67
1538	19.635
1539	19.598
1540	19.56
1541	19.545
1542	19.524
1543	19.509
1544	19.487
1545	19.457
1546	19.442
1547	19.424
1548	19.397
