Node Number	Thermal Strain (mm/mm)
1038	9.0787e-003
1039	9.0814e-003
1040	9.0804e-003
1041	9.083e-003
1042	9.082e-003
1043	9.0845e-003
1044	9.0834e-003
1045	9.0864e-003
1046	9.0852e-003
1047	9.0882e-003
1048	9.0874e-003
1049	9.09e-003
1050	9.0893e-003
1051	9.0922e-003
1052	9.0913e-003
1053	9.095e-003
1054	9.0936e-003
1055	9.0979e-003
1056	9.0963e-003
1057	9.1014e-003
1058	9.1056e-003
1059	9.1033e-003
1060	9.1104e-003
1061	9.1078e-003
1062	9.1166e-003
1063	9.1244e-003
1064	9.1345e-003
1065	9.1291e-003
1066	9.1478e-003
1067	9.1407e-003
1068	9.1647e-003
1069	9.1558e-003
1070	9.1839e-003
1071	9.1744e-003
1072	9.2041e-003
1073	9.1932e-003
1074	9.2077e-003
1075	9.2118e-003
1076	9.2117e-003
1077	9.2092e-003
1078	9.2105e-003
1079	9.2063e-003
1080	9.2038e-003
1081	9.2049e-003
1082	9.2018e-003
1083	9.2006e-003
1084	9.2012e-003
1085	9.1998e-003
1086	9.1989e-003
1087	9.1994e-003
1088	9.1978e-003
1089	9.1972e-003
1090	9.1971e-003
1091	9.1967e-003
1092	9.1969e-003
1093	9.197e-003
1094	9.1969e-003
1095	9.1965e-003
1096	9.1961e-003
1097	9.1957e-003
1098	9.196e-003
1099	9.1953e-003
1100	9.1954e-003
1101	9.1952e-003
1102	9.1953e-003
1103	9.1945e-003
1104	9.1929e-003
1105	9.1934e-003
1106	9.1924e-003
1107	9.1927e-003
1108	9.1922e-003
1109	9.1925e-003
1110	9.1914e-003
1111	9.1905e-003
1112	9.191e-003
1113	9.1894e-003
1114	9.1883e-003
1115	9.1888e-003
1116	9.1894e-003
1117	9.1884e-003
1118	9.1888e-003
1119	9.1871e-003
1120	9.1879e-003
1121	9.1861e-003
1122	9.1851e-003
1123	9.1844e-003
1124	9.1846e-003
1125	9.1838e-003
1126	9.1833e-003
1127	9.1831e-003
1128	9.1831e-003
1129	9.1826e-003
1130	9.1827e-003
1131	9.1822e-003
1132	9.1823e-003
1133	9.1818e-003
1134	9.1819e-003
1135	9.1816e-003
1136	9.1816e-003
1137	9.1815e-003
1138	9.1814e-003
1139	9.1814e-003
1140	9.1814e-003
1141	9.1809e-003
1142	9.181e-003
1143	9.1807e-003
1144	9.1808e-003
1145	9.1804e-003
1146	9.1805e-003
1147	9.1802e-003
1148	9.1802e-003
1149	9.18e-003
1150	9.18e-003
1151	9.1796e-003
1152	9.1797e-003
1153	9.1792e-003
1154	9.1786e-003
1155	9.1789e-003
1156	9.178e-003
1157	9.1784e-003
1158	9.177e-003
1159	9.1755e-003
1160	9.1764e-003
1161	9.1734e-003
1162	9.1744e-003
1163	9.1733e-003
1164	9.175e-003
1165	9.1741e-003
1166	9.1762e-003
1167	9.177e-003
1168	9.1775e-003
1169	9.1778e-003
1170	9.1776e-003
1171	9.178e-003
1172	9.1783e-003
1173	9.178e-003
1174	9.1783e-003
1175	9.1784e-003
1176	9.1783e-003
1177	9.1786e-003
1178	9.1785e-003
1179	9.1784e-003
1180	9.1785e-003
1181	9.1784e-003
1182	9.1785e-003
1183	9.1784e-003
1184	9.1786e-003
1185	9.1784e-003
1186	9.1786e-003
1187	9.1785e-003
1188	9.1786e-003
1189	9.1785e-003
1190	9.1786e-003
1191	9.1785e-003
1192	9.1786e-003
1193	9.1783e-003
1194	9.1785e-003
1195	9.1785e-003
1196	9.1786e-003
1197	9.1785e-003
1198	9.1786e-003
1199	9.1785e-003
1200	9.1787e-003
1201	9.1786e-003
1202	9.1788e-003
1203	9.1787e-003
1204	9.1787e-003
1205	9.1787e-003
1206	9.1787e-003
1207	9.1786e-003
1208	9.1787e-003
1209	9.1786e-003
1210	9.1787e-003
1211	9.1786e-003
1212	9.1787e-003
1213	9.1786e-003
1214	9.1788e-003
1215	9.1786e-003
1216	9.1788e-003
1217	9.1787e-003
1218	9.1787e-003
1219	9.1786e-003
1220	9.1789e-003
1221	9.1787e-003
1222	9.1788e-003
1223	9.1787e-003
1224	9.1788e-003
1225	9.1787e-003
1226	9.1787e-003
1227	9.1787e-003
1228	9.1787e-003
1229	9.1786e-003
1230	9.1788e-003
1231	9.1787e-003
1232	9.1789e-003
1233	9.1787e-003
1234	9.1788e-003
1235	9.1787e-003
1236	9.1789e-003
1237	9.1788e-003
1238	9.1789e-003
1239	9.1787e-003
1240	9.1788e-003
1241	9.1789e-003
1242	9.1787e-003
1243	9.1789e-003
1244	9.1788e-003
1245	9.179e-003
1246	9.1788e-003
1247	9.179e-003
1248	9.1789e-003
1249	9.179e-003
1250	9.1789e-003
1251	9.1789e-003
1252	9.1789e-003
1253	9.179e-003
1254	9.1788e-003
1255	9.1791e-003
1256	9.179e-003
1257	9.1791e-003
1258	9.179e-003
1259	9.179e-003
1260	9.1794e-003
1261	9.179e-003
1262	9.1792e-003
1263	9.179e-003
1264	9.179e-003
1265	9.179e-003
1266	9.1791e-003
1267	9.1791e-003
1268	9.1792e-003
1269	9.1792e-003
1270	9.1791e-003
1271	9.1791e-003
1272	9.179e-003
1273	9.1792e-003
1274	9.1792e-003
1275	9.1792e-003
1276	9.1791e-003
1277	9.1791e-003
1278	9.1791e-003
